07-23 04:46:37:238: Free memory: 251MB
07-23 04:46:38:484: FPS: 6876, TPS: 59
07-23 04:46:39:484: FPS: 7868, TPS: 60
07-23 04:46:40:484: FPS: 7954, TPS: 60
07-23 04:46:41:484: FPS: 7539, TPS: 59
07-23 04:46:42:484: FPS: 7838, TPS: 60
07-23 04:46:43:484: FPS: 7666, TPS: 60
07-23 04:46:44:484: FPS: 7618, TPS: 60
07-23 04:46:45:484: FPS: 7393, TPS: 59
07-23 04:46:46:484: FPS: 7684, TPS: 60
07-23 04:46:47:484: FPS: 7398, TPS: 60
07-23 04:46:48:484: FPS: 7114, TPS: 60
07-23 04:46:49:484: FPS: 7039, TPS: 60
07-23 04:46:50:484: FPS: 7152, TPS: 60
07-23 04:46:51:484: FPS: 7086, TPS: 60
07-23 04:46:52:484: FPS: 7045, TPS: 60
07-23 04:46:53:484: FPS: 7086, TPS: 60
07-23 04:46:54:484: FPS: 6958, TPS: 60
07-23 04:46:55:484: FPS: 7230, TPS: 60
07-23 04:46:56:484: FPS: 7222, TPS: 60
07-23 04:46:57:484: FPS: 7177, TPS: 60
07-23 04:46:58:484: FPS: 7130, TPS: 60
07-23 04:46:59:484: FPS: 7197, TPS: 60
07-23 04:47:00:484: FPS: 7160, TPS: 60
07-23 04:47:01:484: FPS: 7070, TPS: 60
07-23 04:47:02:484: FPS: 7239, TPS: 60
07-23 04:47:03:484: FPS: 7186, TPS: 60
07-23 04:47:04:484: FPS: 7046, TPS: 60
07-23 04:47:05:484: FPS: 7071, TPS: 60
07-23 04:47:06:484: FPS: 7635, TPS: 60
07-23 04:47:07:484: FPS: 7410, TPS: 60
07-23 04:47:08:484: FPS: 7426, TPS: 60
07-23 04:47:09:484: FPS: 7824, TPS: 60
07-23 04:47:10:484: FPS: 8169, TPS: 60
07-23 04:47:11:484: FPS: 7514, TPS: 60
07-23 04:47:12:484: FPS: 7021, TPS: 60
07-23 04:47:13:484: FPS: 7176, TPS: 60
07-23 04:47:14:484: FPS: 7158, TPS: 60
07-23 04:47:15:484: FPS: 7197, TPS: 60
07-23 04:47:16:484: FPS: 7281, TPS: 60
07-23 04:47:17:484: FPS: 7195, TPS: 60
07-23 04:47:18:484: FPS: 7276, TPS: 60
07-23 04:47:19:484: FPS: 7185, TPS: 60
07-23 04:47:20:484: FPS: 7150, TPS: 60
07-23 04:47:21:484: FPS: 7342, TPS: 60
07-23 04:47:22:484: FPS: 7431, TPS: 60
07-23 04:47:23:484: FPS: 7393, TPS: 60
07-23 04:47:24:484: FPS: 7316, TPS: 60
07-23 04:47:25:484: FPS: 7439, TPS: 60
07-23 04:47:26:484: FPS: 7327, TPS: 60
07-23 04:47:27:484: FPS: 7386, TPS: 60
07-23 04:47:28:484: FPS: 7187, TPS: 60
07-23 04:47:29:484: FPS: 7263, TPS: 60
07-23 04:47:30:484: FPS: 7332, TPS: 60
07-23 04:47:31:484: FPS: 7440, TPS: 60
07-23 04:47:32:484: FPS: 7323, TPS: 60
07-23 04:47:33:484: FPS: 6988, TPS: 60
07-23 04:47:34:484: FPS: 6786, TPS: 60
07-23 04:47:35:484: FPS: 6831, TPS: 60
07-23 04:47:36:484: FPS: 7084, TPS: 60
07-23 04:47:37:484: FPS: 7653, TPS: 60
07-23 04:47:38:484: FPS: 7860, TPS: 60
07-23 04:47:39:484: FPS: 7281, TPS: 60
07-23 04:47:40:484: FPS: 7025, TPS: 60
07-23 04:47:41:484: FPS: 7217, TPS: 60
07-23 04:47:42:484: FPS: 7266, TPS: 60
07-23 04:47:43:484: FPS: 7209, TPS: 60
07-23 04:47:44:484: FPS: 6975, TPS: 60
07-23 04:47:45:484: FPS: 6354, TPS: 60
07-23 04:47:46:484: FPS: 6759, TPS: 59
07-23 04:47:47:484: FPS: 7123, TPS: 60
07-23 04:47:48:484: FPS: 6866, TPS: 60
07-23 04:47:49:484: FPS: 7268, TPS: 60
07-23 04:47:50:484: FPS: 7213, TPS: 60
07-23 04:47:51:484: FPS: 7186, TPS: 60
07-23 04:47:52:484: FPS: 7068, TPS: 60
07-23 04:47:53:484: FPS: 7141, TPS: 60
07-23 04:47:54:484: FPS: 7330, TPS: 60
07-23 04:47:55:484: FPS: 7405, TPS: 60
07-23 04:47:56:484: FPS: 7285, TPS: 60
07-23 04:47:57:484: FPS: 7120, TPS: 60
07-23 04:47:58:484: FPS: 7309, TPS: 60
07-23 04:47:59:484: FPS: 7296, TPS: 60
07-23 04:48:00:484: FPS: 7001, TPS: 60
07-23 04:48:01:484: FPS: 7444, TPS: 60
07-23 04:48:02:484: FPS: 6893, TPS: 60
07-23 04:48:03:484: FPS: 6971, TPS: 60
07-23 04:48:04:484: FPS: 7140, TPS: 60
07-23 04:48:05:484: FPS: 6900, TPS: 60
07-23 04:48:06:484: FPS: 6830, TPS: 60
07-23 04:48:07:484: FPS: 6715, TPS: 60
07-23 04:48:08:484: FPS: 7009, TPS: 60
07-23 04:48:09:484: FPS: 7199, TPS: 60
07-23 04:48:10:484: FPS: 8100, TPS: 60
07-23 04:48:11:484: FPS: 7569, TPS: 60
07-23 04:48:12:484: FPS: 7203, TPS: 60
07-23 04:48:13:484: FPS: 6601, TPS: 60
07-23 04:48:14:484: FPS: 6895, TPS: 60
07-23 04:48:15:484: FPS: 6980, TPS: 60
